126794236516480 -
136679711954688 lock
136679711954640 log_prior
136679711954592 send
136679711961552 recv
126794238328368 log_likelihood
126794255490784 send
126794235084624 process_conf
126794235084384 preprocess_data
126794235138352 log_likelihood2
> 126794236516480 2911992 126800800096384 1780985074.686397
< 126794236516480 2911992 126800800096384 1780985074.6865044
> 136679711954688 2912060 136686256525440 1780985080.0110693
< 136679711954688 2912060 136686256525440 1780985080.011314
> 136679711954640 2912060 136686256525440 1780985080.0114915
< 136679711954640 2912060 136686256525440 1780985080.0118608
> 136679711954592 2912060 136686256525440 1780985080.0118806
< 136679711954592 2912060 136686256525440 1780985080.0931838
> 136679711961552 2912060 136686256525440 1780985080.0932078
> 126794236516480 2911992 126800800096384 1780985080.0947733
< 126794236516480 2911992 126800800096384 1780985080.0948417
> 126794238328368 2911992 126800800096384 1780985080.0950174
> 126794235084624 2911992 126800800096384 1780985080.095032
< 126794235084624 2911992 126800800096384 1780985080.0985386
> 126794235084384 2911992 126800800096384 1780985080.098564
< 126794235084384 2911992 126800800096384 1780985080.0990014
> 126794235138352 2911992 126800800096384 1780985080.0990195
< 126794235138352 2911992 126800800096384 1780985080.188606
< 126794238328368 2911992 126800800096384 1780985080.1886818
> 126794255490784 2911992 126800800096384 1780985080.1887012
< 126794255490784 2911992 126800800096384 1780985080.2674398
< 136679711961552 2912060 136686256525440 1780985080.2748265
> 136679711954688 2912060 136686256525440 1780985080.2748628
< 136679711954688 2912060 136686256525440 1780985080.2748742
> 136679711954640 2912060 136686256525440 1780985080.2749481
< 136679711954640 2912060 136686256525440 1780985080.2752879
> 136679711954592 2912060 136686256525440 1780985080.2752998
> 126794236516480 2911992 126800800096384 1780985080.3496275
< 126794236516480 2911992 126800800096384 1780985080.3497293
< 136679711954592 2912060 136686256525440 1780985080.3580558
> 136679711961552 2912060 136686256525440 1780985080.3580837
> 126794236516480 2911992 126800800096384 1780985080.4297411
< 126794236516480 2911992 126800800096384 1780985080.429848
> 126794238328368 2911992 126800800096384 1780985080.4300995
> 126794235084624 2911992 126800800096384 1780985080.4301245
< 126794235084624 2911992 126800800096384 1780985080.43577
> 126794235084384 2911992 126800800096384 1780985080.4358077
< 126794235084384 2911992 126800800096384 1780985080.4363317
> 126794235138352 2911992 126800800096384 1780985080.4363606
< 126794235138352 2911992 126800800096384 1780985080.5374799
< 126794238328368 2911992 126800800096384 1780985080.5375483
> 126794255490784 2911992 126800800096384 1780985080.5375757
< 126794255490784 2911992 126800800096384 1780985080.6197567
< 136679711961552 2912060 136686256525440 1780985080.6225133
> 136679711954688 2912060 136686256525440 1780985080.6225817
< 136679711954688 2912060 136686256525440 1780985080.6226058
> 136679711954640 2912060 136686256525440 1780985080.6228023
< 136679711954640 2912060 136686256525440 1780985080.6233025
> 136679711954592 2912060 136686256525440 1780985080.623326
> 126794236516480 2911992 126800800096384 1780985080.7018
< 126794236516480 2911992 126800800096384 1780985080.7019062
< 136679711954592 2912060 136686256525440 1780985080.7053227
> 136679711961552 2912060 136686256525440 1780985080.7053514
> 126794236516480 2911992 126800800096384 1780985080.781645
< 126794236516480 2911992 126800800096384 1780985080.781768
> 126794238328368 2911992 126800800096384 1780985080.782012
> 126794235084624 2911992 126800800096384 1780985080.7820306
< 126794235084624 2911992 126800800096384 1780985080.7884405
> 126794235084384 2911992 126800800096384 1780985080.7885113
< 126794235084384 2911992 126800800096384 1780985080.7890277
> 126794235138352 2911992 126800800096384 1780985080.7890508
< 126794235138352 2911992 126800800096384 1780985080.8644865
< 126794238328368 2911992 126800800096384 1780985080.8645651
> 126794255490784 2911992 126800800096384 1780985080.8645923
< 126794255490784 2911992 126800800096384 1780985080.9435456
< 136679711961552 2912060 136686256525440 1780985080.949835
> 136679711954688 2912060 136686256525440 1780985080.9498837
